index,name,Singleplayer,Multiplayer
0,PAYDAY 2,True,True
1,Horizon Zero Dawn,True,False
2,Grand Theft Auto IV,True,True
3,Rocket League,True,True
4,Dota 2,False,True
5,Cyberpunk 2077,True,False
6,Terraria,True,True
7,Warframe,True,True
8,Metro 2033,True,False
9,Metal Gear Solid V: The Phantom Pain,True,True
10,Rise of the Tomb Raider,True,False
11,Batman: Arkham Knight,True,False
12,The Walking Dead: Season 1,True,False
13,The Witcher 2: Assassins of Kings Enhanced Edition,True,False
14,Half-Life 2: Lost Coast,True,True
15,Middle-earth: Shadow of Mordor,True,False
16,Grand Theft Auto: San Andreas,True,True
17,The Witcher: Enhanced Edition Director's Cut,True,False
18,Half-Life 2: Episode One,True,False
19,BioShock 2,True,True
20,PAYDAY 2,True,True
21,Horizon Zero Dawn,True,False
22,Grand Theft Auto IV,True,True
23,Rocket League,True,True
24,Dota 2,False,True
25,Cyberpunk 2077,True,False
26,Terraria,True,True
27,Warframe,True,True
28,Metro 2033,True,False
29,Metal Gear Solid V: The Phantom Pain,True,True
30,Rise of the Tomb Raider,True,False
31,Batman: Arkham Knight,True,False
32,The Walking Dead: Season 1,True,False
33,The Witcher 2: Assassins of Kings Enhanced Edition,True,False
34,Half-Life 2: Lost Coast,True,True
35,Middle-earth: Shadow of Mordor,True,False
36,Grand Theft Auto: San Andreas,True,True
37,The Witcher: Enhanced Edition Director's Cut,True,False
38,Half-Life 2: Episode One,True,False
39,BioShock 2,True,True
40,Half-Life 2: Episode Two,True,True
41,Hitman,True,False
42,Apex Legends,False,True
43,Hollow Knight,True,False
44,Mirror's Edge,True,False
45,Little Nightmares,True,False
46,Hotline Miami,True,False
47,Dark Souls III,True,True
48,Outlast,True,False
49,Deus Ex: Mankind Divided,True,False
50,Spec Ops: The Line,True,True
51,BioShock Remastered,True,False
52,Marvel's Spider-Man,True,False
53,Far Cry 3,True,True
54,Amnesia: The Dark Descent,True,False
55,Half-Life 2: Deathmatch,False,True
56,Alan Wake,True,False
57,Saints Row: The Third,True,True
58,Half-Life,True,True
59,Wolfenstein: The New Order,True,True
60,Borderlands,True,True
61,Detroit: Become Human,True,False
62,Uncharted 4: A Thief’s End,False,False
63,Path of Exile,True,True
64,Stardew Valley,True,True
65,Prey,True,False
66,L.A. Noire,True,False
67,Injustice: Gods Among Us Ultimate Edition,True,True
68,Garry's Mod,True,True
69,Super Meat Boy,True,False
70,PlayerUnknown’s Battlegrounds,False,True
71,Sid Meier's Civilization V,True,True
72,Dead Space (2008),True,False
73,For Honor,True,True
74,Fallout: New Vegas,True,False
75,Assassin’s Creed IV: Black Flag,True,True
76,Dishonored,True,False
77,Company of Heroes 2,True,True
78,Hitman: Absolution,True,True
79,The Last Of Us Remastered,False,True
80,Hellblade: Senua's Sacrifice,True,False
81,Dishonored 2,True,False
82,The Elder Scrolls V: Skyrim Special Edition,True,False
83,Mass Effect 2,True,False
84,Grand Theft Auto: Vice City,True,True
85,Half-Life Deathmatch: Source,False,True
86,Control,True,False
87,Death Stranding,True,False
88,Star Wars Jedi: Fallen Order,True,False
89,Metal Gear Solid V: Ground Zeroes,True,False
90,Don't Starve Together,True,True
91,Mass Effect,True,False
92,Counter-Strike: Source,True,True
93,Just Cause 3,True,True
94,Borderlands: The Pre-Sequel,True,True
95,Bloodborne,False,False
96,Mortal Kombat X,True,True
97,Bastion,True,False
98,Journey,True,True
99,Metro: Last Light Redux,True,True
100,Just Cause 2,True,True
101,Counter-Strike,False,True
102,Mad Max,True,True
103,Left 4 Dead,True,True
104,Metro 2033 Redux,True,True
105,BioShock 2 Remastered,True,True
106,Monster Hunter: World,True,True
107,NieR:Automata,True,False
108,XCOM: Enemy Unknown,True,True
109,Fall Guys: Ultimate Knockout,False,False
110,Brutal Legend,True,True
111,Brothers: A Tale of Two Sons,True,True
112,Heavy Rain,True,False
113,Titanfall 2,True,True
114,Resident Evil 7: Biohazard,True,True
115,Minecraft,False,True
116,Cities: Skylines,True,False
117,Batman: Arkham City - Game of the Year Edition,True,False
118,Psychonauts,True,False
119,Mafia II,True,True
120,SEGA Mega Drive and Genesis Classics,True,True
121,Watch Dogs,True,True
122,Batman: Arkham Asylum Game of the Year Edition,True,False
123,Max Payne 3,True,True
124,Middle-earth: Shadow of War,True,False
125,Paladins,False,True
126,Far Cry 5,True,True
127,Fallout,True,False
128,The Darkness II,True,True
129,Shadow of the Tomb Raider,True,False
130,INSIDE,True,False
131,Saints Row IV,True,True
132,Firewatch,True,False
133,Darksiders,True,False
134,Alien: Isolation,True,False
135,Transistor,True,False
136,Assassin's Creed II,False,False
137,Undertale,True,False
138,Assassin's Creed Odyssey,True,False
139,Hades,True,False
140,ARK: Survival Of The Fittest,True,True
141,Hitman 2,True,True
142,Sekiro: Shadows Die Twice,True,False
143,Tom Clancy's Rainbow Six Siege,True,True
144,Batman: Arkham Origins,True,True
145,Warhammer: Vermintide 2,False,False
146,Assassin's Creed Origins,False,False
147,Layers of Fear,True,False
148,Cuphead,True,False
149,Unturned,True,True
150,The Wolf Among Us,True,False
151,GRID 2,True,True
152,Battlefield 1,True,True
153,Titan Quest Anniversary Edition,True,True
154,Metro Exodus,True,False
155,The Stanley Parable,True,False
156,No Man's Sky,True,True
157,ARK: Survival Evolved,True,True
158,Far Cry 4,True,True
159,Crusader Kings II,True,True
160,War Thunder,True,True
161,Deus Ex: Human Revolution - Director's Cut,True,False
162,Trine 2: Complete Story,True,True
163,Call of Duty: Modern Warfare 2,True,True
164,Resident Evil 5,True,True
165,Assassin’s Creed III,True,True
166,XCOM 2,True,True
167,Saints Row 2,True,True
168,Insurgency,True,True
169,Viscera Cleanup Detail: Shadow Warrior,True,True
170,Red Dead Redemption,False,True
171,Brawlhalla,True,True
172,DOOM Eternal,True,True
173,Ori and the Blind Forest: Definitive Edition,True,False
174,Halo Infinite,True,True
175,SOMA,True,False
176,Shadowrun Returns,True,False
177,Amnesia: A Machine for Pigs,True,False
178,Total War: SHOGUN 2,True,True
179,Thief,True,False
180,Counter-Strike: Condition Zero,True,True
181,Watch Dogs 2,True,True
182,FEZ,True,False
183,Call of Duty: Black Ops III,True,True
184,Grand Theft Auto III,True,True
185,The Last of Us Part II,True,False
186,Dead Island,False,False
187,Wolfenstein II: The New Colossus,True,False
188,Magicka,True,True
189,Lara Croft and the Temple of Osiris,True,True
190,Darksiders Warmastered Edition,True,False
191,Disco Elysium,True,False
192,Ori and the Blind Forest,True,False
193,Killing Floor,True,True
194,The Last Of Us,False,False
195,This War of Mine,True,False
196,Uncharted 3: Drake's Deception,False,False
197,Among Us,False,True
198,Call of Duty: Black Ops,True,True
199,Dragon Age: Origins,True,False
200,South Park: The Stick of Truth,True,False
201,Rayman Legends,True,False
202,DiRT Rally,True,True
203,"Papers, Please",True,False
204,Kingdom Come: Deliverance,True,False
205,Quake Champions,False,True
206,Chivalry: Medieval Warfare,False,True
207,Sid Meier’s Civilization VI,True,True
208,Assassin's Creed Unity,True,True
209,Call of Juarez: Gunslinger,True,False
210,The Bureau: XCOM Declassified,True,False
211,Star Wars: Knights of the Old Republic,False,False
212,Castle Crashers,True,True
213,The Binding of Isaac,True,False
214,Halo: The Master Chief Collection,True,True
215,Dead Cells,True,False
216,Resident Evil 4 (2005),True,False
217,DmC: Devil May Cry,True,False
218,Batman: Arkham City,False,False
219,Don't Starve,True,True
220,Dead Space 2,True,True
221,Fallout 3,True,False
222,Darkest Dungeon,True,False
223,Subnautica,True,True
224,Half-Life: Blue Shift,True,False
225,Half-Life: Opposing Force,True,True
226,Quantum Break,True,False
227,Syberia,True,False
228,Grim Fandango Remastered,True,False
229,Fallout Shelter,True,True
230,Divinity: Original Sin 2,True,True
231,Beyond: Two Souls,True,True
232,A Plague Tale: Innocence,True,False
233,Mafia III,True,True
234,Battlefield 4,True,True
235,What Remains of Edith Finch,True,False
236,Black Desert Online,False,True
237,Call of Duty: WWII,True,True
238,Homefront,True,True
239,Torchlight II,True,True
240,Goat Simulator,True,False
241,The Witness,True,False
242,Guacamelee! Super Turbo Championship Edition,True,False
243,Ratchet & Clank (2016),False,False
244,Sniper Elite V2,True,True
245,Devil May Cry 5,True,False
246,Broforce,True,True
247,SUPERHOT,True,True
248,Yakuza 0,True,True
249,FTL: Faster Than Light,True,False
250,Elden Ring,True,True
251,Sleeping Dogs: Definitive Edition,True,True
252,inFAMOUS Second Son,False,False
253,Dying Light: The Following - Enhanced Edition,True,True
254,Deus Ex: Human Revolution,False,False
255,Sleeping Dogs,True,True
256,The Walking Dead: Season 2,True,False
257,Dragon Age: Inquisition,True,True
258,Call of Duty: Modern Warfare 3,True,True
259,Tom Clancy’s The Division,True,True
260,Resident Evil 6,True,True
261,Hotline Miami 2: Wrong Number,True,False
262,Days Gone,True,True
263,The Outer Worlds,True,False
264,Resident Evil 2 (1998),True,False
265,Kingdom: Classic,True,False
266,Forza Horizon 4,True,True
267,A Story About My Uncle,True,False
268,Until Dawn,False,False
269,Bayonetta,True,False
270,Alan Wake's American Nightmare,True,False
271,To the Moon,True,False
272,PAYDAY The Heist,True,True
273,FINAL FANTASY XV,False,False
274,Overcooked,True,True
275,Batman: Arkham Asylum,False,False
276,Ori and the Will of the Wisps,True,False
277,Call of Duty: Black Ops II,True,True
278,"Warhammer 40,000: Space Marine",True,True
279,Syberia 2,True,False
280,STAR WARS Battlefront II,True,True
281,Surviving Mars,True,False
282,POSTAL 2,True,True
283,The Legend of Zelda: Breath of the Wild,False,False
284,Age of Wonders III,True,True
285,Assassin's Creed Syndicate,True,True
286,Dark Souls: Prepare To Die Edition,True,True
287,Borderlands Game of the Year Enhanced,True,True
288,Dark Souls II: Scholar of the First Sin,True,True
289,Metal Gear Rising: Revengeance,True,False
290,Company of Heroes,True,True
291,Team Fortress Classic,False,True
292,Euro Truck Simulator 2,True,False
293,SMITE,False,True
294,Deus Ex: Game of the Year Edition,True,True
295,Oddworld: Abe's Oddysee,True,True
296,Hitman: Blood Money,True,False
297,A Way Out,False,True
298,Borderlands 3,True,True
299,Half-Life: Source,True,True
300,Race Driver: Grid,True,False
301,Black Mesa,True,True
302,Ghost of Tsushima,True,False
303,Celeste,True,False
304,Tropico 4,True,False
305,LEGO The Lord of the Rings,True,True
306,Titan Souls,True,False
307,The Sims 4,True,True
308,Guns of Icarus Online,False,True
309,Human: Fall Flat,True,True
310,Rust,False,True
311,Ryse: Son of Rome,True,True
312,Braid,True,False
313,S.T.A.L.K.E.R.: Shadow of Chernobyl,True,True
314,The Long Dark,True,True
315,The Binding of Isaac: Rebirth,True,False
316,Jotun: Valhalla Edition,True,False
317,Wolfenstein: The Old Blood,True,True
318,Mafia: The City of Lost Heaven,True,False
319,The Playroom,False,False
320,Darksiders II,False,False
321,Sid Meier's Civilization III Complete,True,True
322,Divinity: Original Sin - Enhanced Edition,True,True
323,Dead by Daylight,False,True
324,Darksiders II Deathinitive Edition,True,True
325,Frostpunk,True,False
326,Murdered: Soul Suspect,True,False
327,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,True,True
328,Game of Thrones - A Telltale Games Series,True,False
329,Dear Esther: Landmark Edition,True,False
330,Lords of the Fallen,True,True
331,Star Wars: Knights of the Old Republic II – The Sith Lords,True,False
332,The Forest,True,True
333,The Evil Within,True,False
334,Sanctum 2,True,True
335,Sea of Thieves,True,True
336,Destiny,True,True
337,Hacknet,True,True
338,Max Payne,True,False
339,Mark of the Ninja,True,False
340,Prison Architect,True,False
341,Doki Doki Literature Club!,True,False
342,Trine Enchanted Edition,True,True
343,Serious Sam Fusion 2017 (beta),True,True
344,Jet Set Radio,True,False
345,Resident Evil,False,False
346,Assassin's Creed,False,False
347,Child of Light,True,False
348,Far Cry 3: Blood Dragon,True,False
349,Mortal Kombat 11,True,True
350,Final Fantasy VII,False,False
351,Serious Sam 3: BFE,True,True
352,Neverwinter,False,True
353,Dark Souls: Remastered,True,True
354,Endless Space - Collection,True,True
355,Fallout 2,True,False
356,Resident Evil 2,True,True
357,Broken Age,True,False
358,Beholder,True,False
359,Starbound,True,True
360,Minion Masters,True,True
361,Remember Me,True,False
362,Wallpaper Engine,False,False
363,F.E.A.R.,True,True
364,Enter the Gungeon,True,True
365,Resident Evil Revelations 2 / Biohazard Revelations 2,True,True
366,BattleBlock Theater,True,True
367,Killing Floor 2,True,True
368,Counter-Strike: Condition Zero Deleted Scenes,False,False
369,STAR WARS Battlefront,True,True
370,ABZU,True,False
371,The Elder Scrolls Online: Tamriel Unlimited,True,True
372,Tales from the Borderlands,True,False
373,LEGO The Hobbit,True,True
374,Orwell: Keeping an Eye On You,True,False
375,Oxenfree,True,False
376,Assassin’s Creed Brotherhood,True,True
377,Fortnite Battle Royale,False,True
378,Fallout 3: Game of the Year Edition,True,False
379,Far Cry 2,True,True
380,Sonic Mania,True,True
381,Monaco: What's Yours Is Mine,True,True
382,The Flame in the Flood,True,True
383,Battlefield 3,True,True
384,Rogue Legacy,True,False
385,Lara Croft and the Guardian of Light,True,True
386,Dust: An Elysian Tail,True,False
387,Killer is Dead - Nightmare Edition,True,False
388,Persona 5,True,False
389,F.E.A.R. 3,True,True
390,Dying Light,False,False
391,Valiant Hearts: The Great War,True,False
392,DiRT Showdown,False,True
393,Shadow of the Colossus (2011),False,False
394,F.E.A.R. 2: Project Origin,True,True
395,Deponia,True,False
396,Spelunky,True,True
397,Overlord,True,True
398,Vampyr,True,False
399,Crysis 2 - Maximum Edition,True,True
400,Burnout Paradise: The Ultimate Box,True,True
401,PlanetSide 2,False,True
402,Dragon's Dogma: Dark Arisen,True,True
403,The Elder Scrolls III: Morrowind,True,False
404,The Talos Principle,True,False
405,The Swapper,True,False
406,Mafia II: Definitive Edition,True,False
407,Medal of Honor,True,True
408,Stellaris,True,True
409,Drawful 2,False,True
410,Gwent: The Witcher Card Game,True,True
411,Divinity: Original Sin,True,True
412,Slay the Spire,True,False
413,Battlefield V,True,True
414,Binary Domain,True,True
415,Star Wars: Battlefront II (2005),True,True
416,Heroes & Generals,True,True
417,Mass Effect 3,False,False
418,Call of Duty: Modern Warfare Remastered,True,True
419,Resident Evil 3,True,True
420,Pillars of Eternity,True,False
421,Red Faction: Guerrilla,True,True
422,Crash Bandicoot N. Sane Trilogy,True,False
423,Tomb Raider: Underworld,True,False
424,Machinarium,True,False
425,Gris,True,False
426,Gears 5,True,True
427,Assassin's Creed Revelations,True,True
428,Rage,True,True
429,Sniper Elite 4,True,True
430,Crysis,True,True
432,Yakuza Kiwami,False,False
433,World of Goo,True,True
434,Sins of a Solar Empire: Rebellion,True,True
435,Max Payne 2: The Fall of Max Payne,False,False
436,Call of Duty: World at War,True,True
437,Day of Defeat: Source,False,True
438,Magicka 2,True,True
439,Metro: Last Light,False,False
440,Hitman 2: Silent Assassin,True,False
441,Gone Home,True,False
442,The LEGO NINJAGO Movie Video Game,True,False
443,Injustice 2,True,True
444,Uncharted: Legacy of Thieves Collection,True,False
445,The Elder Scrolls IV: Oblivion Game of the Year Edition,True,False
446,The Awesome Adventures of Captain Spirit,True,False
447,Satellite Reign,True,True
448,Stray,True,False
449,Deponia: The Complete Journey,True,False
450,Red Faction: Armageddon,True,True
451,Torchlight,True,False
452,Life is Strange: Before The Storm,True,False
453,Shadow Tactics: Blades of the Shogun,True,False
454,VRChat,True,True
455,Never Alone,True,False
456,S.T.A.L.K.E.R.: Call of Pripyat,True,True
457,Tabletop Simulator,True,True
458,Sunset Overdrive,True,True
459,Street Fighter V,True,True
460,Shadow Warrior,True,True
461,Uncharted: The Lost Legacy,False,False
462,Alien Swarm,True,True
463,Deep Rock Galactic,True,True
464,God of War III Remastered,False,False
465,Forza Horizon 5,True,True
466,Life is Strange 2,True,False
467,S.T.A.L.K.E.R.: Clear Sky,True,True
468,Shadowrun: Dragonfall - Director's Cut,True,False
469,Outer Wilds,True,False
470,Resident Evil: Village,True,True
471,System Shock 2,True,False
472,Day of Defeat,False,True
473,Deadlight,True,False
474,Awesomenauts,True,True
475,Mafia: Definitive Edition,True,False
476,Orcs Must Die! 2,True,True
477,Outland,True,True
478,Resident Evil Revelations,True,True
479,Sonic Generations,True,False
480,Bully: Scholarship Edition,True,True
481,Ricochet,False,True
482,Star Wars Jedi Knight: Jedi Academy,True,True
483,It Takes Two,False,True
484,HELL YEAH! Wrath of the Dead Rabbit,True,False
485,ARMA: Cold War Assault,True,True
486,Deathmatch Classic,False,True
487,Outlast 2,True,False
488,Kholat,True,True
489,Final Fantasy VII (1997),True,False
490,Robocraft,False,True
491,Stories: The Path of Destinies,True,False
492,Battlefield: Bad Company 2,True,True
493,Renegade Ops,True,True
494,Mass Effect: Andromeda,False,False
495,Call of Duty 4: Modern Warfare,True,True
496,Steep,True,True
497,Assassin's Creed Valhalla,False,False
498,Spyro Reignited Trilogy,True,False
499,Grand Theft Auto: Episodes from Liberty City,True,True
500,Tomb Raider: Legend,True,False
501,VVVVVV,True,True
502,Valheim,True,True
503,Uncharted 2: Among Thieves,False,False
504,Galactic Civilizations II: Ultimate Edition,True,False
505,Vampire Survivors,True,False
506,The Evil Within 2,True,False
507,Battlerite,True,True
508,Mortal Kombat Komplete Edition,True,True
509,Deus Ex 2: Invisible War,True,False
510,FINAL FANTASY XIII,True,False
511,Trove,False,True
512,Uncharted: Drake's Fortune,False,False
513,Deathloop,True,True
514,Saints Row: Gat Out of Hell,True,True
515,Clicker Heroes,True,True
516,Dota Underlords,True,True
517,Tomb Raider: Anniversary,True,False
518,Styx: Master of Shadows,True,False
519,Evolve Stage 2,True,True
520,Furi,True,False
521,F1 2015,True,True
522,The Order: 1886,True,False
523,Everlasting Summer,True,False
524,Surgeon Simulator,True,True
525,Just Cause,True,True
526,Viking: Battle for Asgard,True,False
527,Katana ZERO,True,False
528,Titan Quest,False,True
529,Shadow Warrior 2,True,True
530,Marvel's Guardians of the Galaxy,True,False
531,Overcooked! 2,True,True
532,SteamWorld Dig,True,True
533,Enclave,True,True
534,STRIDER,True,False
535,TEKKEN 7,True,True
536,LEGO Marvel Super Heroes,True,True
